country| aconfci|aconfci992|agdproi|agdproi992|agninci|agninci992|agweali|agweali992|ahweali|ahweali992|andproi|andproi992|apweali|apweali992|ehfghgi|enfcari|enfghgi|enncari|entcari|entonai|inyixxi|khfghgi|knfcari|knfghgi|knncari|kntcari|kntghgi|kntonai|mconfci|mgdproi|mgninci|mgweali|mhweali|mndproi|mnninci|mnweali|npopuli|npopuli001|npopuli051|npopuli101|npopuli111|npopuli151|npopuli201|npopuli202|npopuli251|npopuli301|npopuli302|npopuli351|npopuli401|npopuli402|npopuli451|npopuli501|npopuli502|npopuli551|npopuli601|npopuli602|npopuli651|npopuli701|npopuli702|npopuli751|npopuli801|npopuli802|npopuli851|npopuli901|npopuli902|npopuli951|npopuli991|npopuli992|npopuli993|npopuli994|npopuli995|npopuli996|npopuli997|npopuli998|xlcusxi
AD| 5718.500000| 7023.400000| 36536.700000| 44873.800000| 41210.600000| 50614.300000| 8759.600000| 10758.400000| 49475.500000| 60765.100000| 30818.100000| 37850.400000| 71116.300000| 87344|    0|    0|    0|    0|    0|    0| 0.891576|    0|    0|    0|    0|    0|    0|    0| 444327872| 2838897736.000000| 3202063872.000000| 680617728| 3844245249.000000| 2394569728.000000| 2757736192.000000| 6206351360.000000| 77700| 2549| 3659| 4154|   33| 4075| 4386| 9073| 4687| 5135| 11151| 6016| 6904| 14205| 7301| 6836| 13026| 6190| 4783| 8289| 3506| 2802| 4825| 2023| 1280| 2113|  833|  431|  554|  123| 14436| 63264| 20223| 27229| 15812| 52235| 11030| 2700| 0.875775
AE| 6335.800000| 7765.900000| 171309.600000| 209978.800000| 175569.800000| 215200.700000| 286997.100000| 351780| 698901.600000| 856662.400000| 164973.800000| 202212.900000| 788706.800000| 966739| 178.118174| 220.515997| 266.165122| 34.600013| 185.915984| 50.289841| 0.806686| 18.009195| 22.295959| 26.911457| 3.498343| 18.797617| 23.882328| 5.084712| 58842095616.000000| 1591001874432.000000| 1630567923712.000000| 2665424617472.000000| 6490901248320.000000| 1532159721472.000000| 1571725901824.000000| 9990371803136.000000| 9287289| 482234| 500284| 405095|   28| 322712| 723553| 2001336| 1277783| 1555590| 2956437| 1400846| 1014328| 1679183| 664855| 424725| 659269| 234544| 127133| 189001| 61868| 32896| 51780| 18884| 24832| 35952| 11120| 3333| 3984|  651| 1710324| 7576965| 4957771| 2338452| 280742| 7423355| 153610| 39963| 3.672500
AF| 3567.100000| 8028.600000| 49595.200000| 111625.900000| 50082| 112721.500000| 23193| 52201.500000| 89844.800000| 202217.300000| 46028.100000| 103597.300000| 179330.700000| 403626.900000| 35.138363| 24.410466| 43.119947| 3.621073| 20.789394| 24.400183| 0.833782| 0.902642| 0.627061| 1.107675| 0.093019| 0.534043| 1.160840| 0.626797| 139016847360.000000| 1932834242560.000000| 1951805472768.000000| 903883915264.000000| 3501450852628.000000| 1793817313280.000000| 1812788674560.000000| 7892799848448.000000| 38972232| 6375097| 5647051| 5050774|   32| 4584023| 3906752| 7049694| 3142943| 2388181| 4238418| 1850236| 1545874| 2804200| 1258326| 982524| 1726475| 743951| 554562| 949111| 394548| 279615| 442847| 163232| 74817| 99059| 24243| 4908| 5455|  547| 21656944| 17315288| 11288111| 4530674| 1496503| 16373346| 941941| 104546| 76.813536
AG| 7264.200000| 9844.500000| 48240.900000| 65376.700000| 47601.200000| 64509.700000|-19365.400000|-26244.300000| 33583| 45512.100000| 40976.700000| 55532.100000| 50685.800000| 68690| 0.708250| 0.886092| 1.146097| 0.338122| 0.547970| 0.116528| 0.852123| 7.232282| 9.048313| 11.703349| 3.452730| 5.595583| 6.785505| 1.189922| 673128448| 4470193911.000000| 4410913792.000000|-1794476928| 3111934296.000000| 3797065472.000000| 3737785344.000000| 3641446656.000000| 92664| 5276| 5787| 6620|   13| 6606| 7191| 14466| 7274| 7214| 14002| 6788| 6528| 13152| 6624| 6870| 12905| 6035| 4767| 8218| 3451| 2369| 3886| 1517|  926| 1437|  512|  232|  300|   69| 24288| 68376| 28467| 26057| 13853| 59289| 9086| 1750| 2.700000
AI| 11895.200000| 15526.500000| 67800.800000| 88498.800000| 70886.200000| 92526.100000| 3056.400000| 3989.400000| 26153.800000| 34137.900000| 55905.600000| 72972.200000| 71464.100000| 93280.400000|    0|    0|    0|    0|    0|    0| 0.660363|    0|    0|    0|    0|    0|    0|    0| 185386528| 1056675052| 1104761728| 47633348| 407606549| 871288512| 919375232| 895679040| 15585|  806|  984| 1022|    0|  834|  871| 1981| 1111| 1451| 3010| 1559| 1290| 2516| 1226| 1123| 2126| 1002|  785| 1433|  647|  422|  651|  229|  142|  204|   62|   20|   23|    4| 3645| 11940| 4991| 4641| 2309| 10415| 1524|  227| 2.700000
AL| 112105.400000| 146006.600000| 681463.700000| 887541.400000| 671457.500000| 874509.300000|-40351.100000|-52553.400000| 1367576.900000| 1781138.300000| 569358.300000| 741534.800000| 2204124.300000| 2870661.500000| 6.980537| 5.787946| 9.924508| 0.766832| 5.021114| 2.685733| 0.843256| 2.425653| 2.011242| 3.448648| 0.266465| 1.744777| 2.678037| 0.933260| 321389363200.000000| 1953653456896.000000| 1924967301120.000000|-115680419840.000000| 3920636303376.000000| 1632264126464.000000| 1603577839616.000000| 6203210989568.000000| 2866849| 145146| 162182| 164887|  223| 193438| 222927| 459802| 236875| 203309| 377597| 174288| 160776| 331384| 170608| 189455| 391388| 201932| 187432| 336144| 148712| 116645| 206374| 89729| 61175| 87279| 26105| 9049| 11009| 1960| 665652| 2201197| 837398| 722771| 641028| 1747601| 453596| 98511| 108.650002
AM| 339138| 458669.100000| 2615248.500000| 3537007.300000| 2578564.500000| 3487393.500000| 21677.800000| 29318.300000| 5355725.500000| 7243380.500000| 2276110.500000| 3078338.300000| 6884465| 9310932| 7.828604| 5.647499| 9.672223| 0.061988| 5.585511| 4.213571| 0.842523| 2.641904| 1.905851| 3.264067| 0.020919| 1.884932| 3.306878| 1.421946| 951488348160.000000| 7337362325504.000000| 7234440921088.000000| 60819533824.000000| 15026066894068.000000| 6385873977344.000000| 6282952572928.000000| 19375929163776.000000| 2805608| 190090| 205696| 174967|   80| 160400| 172283| 412790| 240507| 255512| 467783| 212271| 161993| 306732| 144739| 151623| 347148| 195525| 191887| 327167| 135280| 81397| 124017| 42620| 54720| 78306| 23586| 9111| 10436| 1325| 731153| 2074455| 880572| 653880| 540004| 1726337| 348117| 88821| 489.008850
AO| 183988.700000| 414322.800000| 1736287.500000| 3909933| 1584903.400000| 3569032.300000|-672566.400000|-1514547.500000| 1375762| 3098068.500000| 1552298.800000| 3495610.300000| 2479442| 5583437.500000| 33.686787| 22.124512| 53.867219|-5.159256| 27.283768| 61.068031| 0.546175| 1.024965| 0.673168| 1.638982|-0.156977| 0.830145| 2.688221| 1.858076| 6150463946752.000000| 58041462423552.000000| 52980921401344.000000|-22482878726144.000000| 45989641763962.000000| 51890997952512.000000| 46830456930304.000000| 45687177740288.000000| 33428486| 5847036| 5055576| 4242700|  179| 3438557| 2842368| 5319939| 2477571| 2149177| 3915901| 1766725| 1409533| 2530801| 1121268| 921676| 1662271| 740594| 549919| 923413| 373494| 236827| 383206| 146379| 75742| 102084| 26342| 5858| 6829|  971| 18583868| 14844618| 9235839| 4193070| 1415709| 13978828| 865790| 109090| 578.258789
AR| 522773.800000| 761720.100000| 3736679.800000| 5444619.500000| 3644562.500000| 5310398|-572053.200000|-833524| 2653462| 3866291| 3213906| 4682899.500000| 8976692| 13079705| 178.122770| 172.320997| 275.726971| 2.328430| 169.992568| 137.809541| 0.161689| 3.941138| 3.812768| 6.100724| 0.051519| 3.761249| 6.810418| 3.049169| 23543655956480.000000| 168285224042496.000000| 164136637956096.000000|-25763009003520.000000| 119501401375550.000000| 144741572280320.000000| 140592977805312.000000| 378511541927936.000000| 45036032| 3440360| 3671535| 3542009| 10169| 3473591| 3498348| 7012523| 3514174| 3314700| 6509588| 3194887| 3089587| 5774179| 2684592| 2301099| 4413451| 2112352| 1917221| 3581986| 1664765| 1354097| 2336868| 982771| 643184| 1025065| 381882| 186115| 244714| 58599| 14127494| 30908538| 13522108| 10187628| 7198801| 25626956| 5281580| 1279948| 70.539169
AS| 2646.100000| 4174.300000| 21325.900000| 33641.400000| 21325.900000| 33641.400000| 6980.600000| 11011.900000| 28923.800000| 45627.100000| 18679.700000| 29467.100000| 43641.400000| 68844|    0|    0|    0|    0|    0|    0| 0.731964|    0|    0|    0|    0|    0|    0|    0| 122222800| 985020812| 985020800| 322428480| 1335961614| 862798016| 862798016| 2338181632.000000| 46189| 4234| 4439| 4352|    0| 3885| 3679| 7962| 4283| 2797| 5251| 2454| 2737| 5591| 2854| 2866| 5503| 2637| 1994| 3375| 1381|  854| 1282|  429|  222|  295|   74|   22|   24|    2| 16909| 29280| 13212| 11093| 4975| 26299| 2981|  319|    1
